date,value
2024-02-16,73.0
2024-02-20,64.0
2024-02-21,64.0
2024-02-22,74.0
2024-02-23,73.0
2024-02-26,72.0
2024-02-27,76.0
2024-02-28,77.0
2024-02-29,77.0
2024-03-01,77.0
2024-03-04,79.0
2024-03-05,76.0
2024-03-06,73.0
2024-03-07,74.0
2024-03-08,70.0
2024-03-11,63.0
2024-03-12,72.0
2024-03-13,72.0
2024-03-14,70.0
2024-03-15,69.0
2024-03-18,71.0
2024-03-19,71.0
2024-03-20,70.0
2024-03-21,71.0
2024-03-22,70.0
2024-03-25,67.0
2024-03-26,68.0
2024-03-27,70.0
2024-03-28,69.0
2024-04-01,71.0
2024-04-02,71.0
2024-04-03,69.0
2024-04-04,54.0
2024-04-05,58.0
2024-04-08,64.0
2024-04-09,60.0
2024-04-10,50.0
2024-04-11,57.0
2024-04-12,45.0
2024-04-15,38.0
2024-04-16,35.0
2024-04-17,31.0
2024-04-18,30.0
2024-04-19,28.0
2024-04-22,34.0
2024-04-23,37.0
2024-04-24,37.0
2024-04-25,25.0
2024-04-26,41.0
2024-04-29,42.0
2024-04-30,41.0
2024-05-01,41.0
2024-05-02,42.0
2024-05-03,43.0
2024-05-06,39.0
2024-05-07,37.0
2024-05-08,38.0
2024-05-09,42.0
2024-05-10,46.0
2024-05-13,48.0
2024-05-14,55.0
2024-05-15,59.0
2024-05-16,62.0
2024-05-17,63.0
2024-05-20,60.0
2024-05-21,59.0
2024-05-22,59.0
2024-05-23,52.0
2024-05-24,52.0
2024-05-28,55.0
2024-05-29,50.0
2024-05-30,45.0
2024-05-31,48.0
2024-06-03,45.0
2024-06-04,48.0
2024-06-05,51.0
2024-06-06,45.0
2024-06-07,43.0
2024-06-10,45.0
2024-06-11,44.0
2024-06-12,47.0
2024-06-13,45.0
2024-06-14,41.0
2024-06-17,43.0
2024-06-18,41.0
2024-06-20,39.0
2024-06-21,39.0
2024-06-24,38.0
2024-06-25,37.0
2024-06-26,41.0
2024-06-27,46.0
2024-06-28,44.0
2024-07-01,48.0
2024-07-02,50.0
2024-07-03,48.0
2024-07-05,50.0
2024-07-08,51.0
2024-07-09,51.0
2024-07-10,55.0
2024-07-11,49.0
2024-07-12,54.0
2024-07-15,58.0
2024-07-16,57.0
2024-07-17,46.0
2024-07-18,46.0
2024-07-19,43.0
2024-07-22,48.0
2024-07-23,47.0
2024-07-24,39.0
2024-07-25,39.0
2024-07-26,43.0
2024-07-29,42.0
2024-07-30,41.0
2024-07-31,47.0
2024-08-01,32.0
2024-08-02,27.0
2024-08-05,17.0
2024-08-06,24.0
2024-08-07,20.0
2024-08-08,24.0
2024-08-09,23.0
2024-08-12,22.0
2024-08-13,25.0
2024-08-14,28.0
2024-08-15,33.0
2024-08-16,35.0
2024-08-19,47.0
2024-08-20,47.0
2024-08-21,52.0
2024-08-22,48.0
2024-08-23,55.0
2024-08-26,44.0
2024-08-27,55.0
2024-08-28,56.0
2024-08-29,60.0
2024-08-30,63.0
2024-09-03,54.0
2024-09-04,50.0
2024-09-05,48.0
2024-09-06,39.0
2024-09-09,41.0
2024-09-10,38.0
2024-09-11,39.0
2024-09-12,45.0
2024-09-13,47.0
2024-09-16,54.0
2024-09-17,56.0
2024-09-18,61.0
2024-09-19,65.0
2024-09-20,64.0
2024-09-23,65.0
2024-09-24,66.0
2024-09-25,67.0
2024-09-26,69.0
2024-09-27,73.0
2024-09-30,74.0
2024-10-01,68.0
2024-10-02,70.0
2024-10-03,71.0
2024-10-04,74.0
2024-10-07,69.0
2024-10-08,71.0
2024-10-09,71.0
2024-10-10,69.0
2024-10-11,75.0
2024-10-14,75.0
2024-10-15,67.0
2024-10-16,69.0
2024-10-17,71.0
2024-10-18,75.0
2024-10-21,70.0
2024-10-22,68.0
2024-10-23,62.0
2024-10-24,62.0
2024-10-25,61.0
2024-10-28,61.0
2024-10-29,58.0
2024-10-30,54.0
2024-10-31,47.0
2024-11-01,44.0
2024-11-04,41.0
2024-11-05,48.0
2024-11-06,58.0
2024-11-07,59.0
2024-11-08,63.0
2024-11-11,69.0
2024-11-12,67.0
2024-11-13,66.0
2024-11-14,58.0
