name,contract_address,market_cap,icon_url,trading_volume_24h,first_seen,last_seen
mubarak,0x5c85d6c6825ab4032337f11ee92a72df936b46f6,"$157,260,748.604",https://static.four.meme/market/2e137116-1d6a-4ba6-804d-96bf2b90007615365277452673729219.jpg,"$69,666,560.23",2025-03-18 21:00:10,2025-03-18 21:00:10
Mubarakah,0x3199a64bc8aabdfd9a3937a346cc59c3d81d8a9a,"$8,254,161.187",https://static.four.meme/market/cd5d84c4-1697-4148-ab68-d368bb056ded14615841836595935272.jpg,"$28,953,565.728",2025-03-18 21:00:10,2025-03-18 21:00:10
Tutorial,0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3,"$21,823,680.878",https://static.four.meme/market/10ae724f-4d43-439f-b5c2-043c24883a2610172856275821338012.png,"$21,854,398.08",2025-03-18 21:00:10,2025-03-18 21:00:10
Queenyi Mubarak,0x1415e784282e11f3972d98b28a4a07f89b82170d,"$916,756.431",https://static.four.meme/market/9411b80b-819f-49b5-b360-49616cceb70d5805422773863569682.png,"$13,654,653.246",2025-03-18 21:00:10,2025-03-18 21:00:10
BNB Card,0xdc06717f367e57a16e06cce0c4761604460da8fc,"$4,944,593.533",https://static.four.meme/market/596f8f9a-4a7d-4388-b0a0-3952a8fcd6a917873631661764561165.png,"$10,053,120.097",2025-03-18 21:00:10,2025-03-18 21:00:10
Banana For Scale,0x3d4f0513e8a29669b960f9dbca61861548a9a760,"$25,375,980.837",https://static.four.meme/market/24ad6e82-9fac-43d0-9954-2cf0fd8663ee2456614852816547236.jpg,"$9,306,980.681",2025-03-18 21:00:10,2025-03-18 21:00:10
Binance's Palu,0xb75a7e8876df49a74cc4c76c6bda161a8ea4b483,"$3,733,047.52",https://static.four.meme/market/3063a50b-a6d7-4c77-8991-8e8ed6bfe8ca6887214616368249333.png,"$7,613,032.175",2025-03-18 21:00:10,2025-03-18 21:00:10
Mashallah,0xc64b6af2d11ae5f908ea12f1c3d1888eb8ee5639,"$1,496,376.267",https://static.four.meme/market/7cff2ed0-7eb1-47eb-87c0-e47fa816c72b18133997594057464867.png,"$5,046,870.994",2025-03-18 21:00:10,2025-03-18 21:00:10
DOODiPALS,0xc468acf451922712cf45af9801df89578b0418b4,"$5,678,311.561",https://static.four.meme/market/827655b2-85bf-4284-8056-5aa965dd535e4171984191522224177.png,"$4,395,803.322",2025-03-18 21:00:10,2025-03-18 21:00:10
Bambi-Nance,0x43e36a35d22636944ec4ec46cab358a2a4dcd321,"$1,234,947.678",https://static.four.meme/market/4592fcbb-22bf-44fc-af01-4ba7d91e8af610927797711595902365.png,"$4,098,393.013",2025-03-18 21:00:10,2025-03-18 21:00:10
BNBXBT,0xa18bbdcd86e4178d10ecd9316667cfe4c4aa8717,"$3,950,579.035",https://static.four.meme/market/140a6ffe-f095-43b9-9b8b-b4c963474b8b2013221513018917238.png,"$3,859,591.357",2025-03-18 21:00:10,2025-03-18 21:00:10
Keep Building,0x35f60cc0c6dd96f88c5dc61113ae4aff7ee02983,"$1,997,725.149",https://static.four.meme/market/e0840af2-fed3-4694-902f-96850a8948757360315589943652997.png,"$3,217,064.975",2025-03-18 21:00:10,2025-03-18 21:00:10
Mubarak Broccoli,0xcf6ebd8deccfd3dceb83d5e3da2b926c08a7ecaa,"$279,798.866",https://static.four.meme/market/a6033251-67b3-4828-85a5-693abefcead98223137216488421065.png,"$2,851,015.832",2025-03-18 21:00:10,2025-03-18 21:00:10
SIREN,0x997a58129890bbda032231a52ed1ddc845fc18e1,"$36,473,713.237",https://static.four.meme/market/ec14e00e-5942-4995-bd6d-f512833507556355629977948509032.jpg,"$2,808,486.751",2025-03-18 21:00:10,2025-03-18 21:00:10
Broccoli,0x12b4356c65340fb02cdff01293f95febb1512f3b,"$14,159,862.843",https://static.four.meme/market/2adfc5bb-7730-4f04-82f3-f17e2e2c2a455844784145709278989.png,"$2,753,525.589",2025-03-18 21:00:10,2025-03-18 21:00:10
CZ'S DOG,0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714,"$33,541,247.513",https://static.four.meme/market/16113910-5fd1-4848-853d-02c7a88f14e0332047899901037737.png,"$2,709,790.563",2025-03-18 21:00:10,2025-03-18 21:00:10
OG Mubarak,0xa81afe5d5390e5b645d46097b5d2975f04a47ebb,"$406,584.912",https://static.four.meme/market/b462a943-5581-442f-a85d-64b6c6ea3e0414783022851241901204.jpeg,"$2,560,548.559",2025-03-18 21:00:10,2025-03-18 21:00:10
camel,0x8051a61319b7ff7010a200e39b30b9a084dbcb5f,"$1,859,474.306",https://static.four.meme/market/ce23ddfc-5981-426e-ab8d-e18812f98b762979760255859649422.jpg,"$2,479,361.956",2025-03-18 21:00:10,2025-03-18 21:00:10
Camel.,0x24127d5f034bb3811cad4123a4ffc20a1f084f95,"$250,290.593",https://static.four.meme/market/e205da7a-06c0-418c-8f3f-7083e7264a757148918292287522528.jpg,"$2,342,434.955",2025-03-18 21:00:10,2025-03-18 21:00:10
ELON'S DOG,0x6f3e5ba2b203b898443edd3dab73c44ab40cf2ec,"$24,931.634",https://static.four.meme/market/02980f86-d3eb-4d6c-9c93-f24f54d319606682835085827071221.png,"$1,916,644.953",2025-03-18 21:00:10,2025-03-18 21:00:10
